Id,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
32,0,0.57619,50,0,1.507909,3333.98,30,0,4,0,0.0
33,0,0.810001,61,0,0.656501,3222.9,30,0,5,0,3.0
34,0,0.498192,67,1,0.713289,8899.3,30,0,2,0,3.0
35,0,0.387554,30,0,0.758762,4099.28,30,0,3,0,4.0
36,0,0.382089,64,0,1.942213,5662.67,30,0,0,0,4.0
37,0,0.235071,22,0,1.806895,3384.95,30,0,0,0,5.0
38,0,0.940583,63,0,1.103808,8569.42,30,0,0,0,1.0
39,0,0.368784,57,2,0.356007,15203.79,30,0,0,0,1.0
40,0,0.738091,51,0,1.54045,12672.13,30,0,4,0,3.0
41,0,0.363743,47,0,1.92703,5779.74,30,0,4,0,0.0
42,0,0.130874,28,1,1.033748,5894.43,30,0,0,1,1.0
43,0,0.541538,47,0,0.27881,12724.44,30,0,10,0,1.0
44,0,0.521386,68,2,1.16921,4254.84,30,0,3,0,0.0
45,0,0.585659,61,1,1.621024,4107.89,30,0,4,0,0.0
46,0,0.546637,45,0,1.130624,10331.26,30,0,10,0,0.0
47,0,0.159567,26,0,3.51041,4833.22,30,1,3,0,2.0
48,0,0.780302,65,0,1.790302,3004.94,30,1,0,1,
49,0,0.559689,72,0,0.550706,17973.84,30,0,2,0,1.0
50,0,0.14736,41,0,0.880878,3783.31,30,0,1,0,0.0
51,0,0.320093,58,0,0.532851,8810.4,30,0,0,0,1.0
52,0,0.498787,27,0,0.935695,,30,0,2,0,2.0
53,0,0.737211,72,2,0.85581,6031.8,30,1,2,0,1.0
54,0,0.339201,54,3,2.228547,6022.69,30,0,6,1,1.0
55,0,0.086037,29,0,1.083782,3615.01,30,0,1,0,0.0
56,0,0.378019,38,1,1.55015,4959.52,30,0,1,0,1.0
57,0,0.830693,57,0,0.653313,3503.23,30,0,1,1,1.0
58,0,0.302847,61,1,0.790807,6744.63,30,0,8,0,5.0
59,0,0.673276,36,1,0.813067,3739.2,30,0,3,0,0.0
60,0,0.326346,36,0,1.110653,16335.67,30,0,0,0,1.0
61,0,0.663641,65,2,0.841141,3241.31,30,0,7,0,0.0
62,0,0.298887,35,0,1.644584,6708.38,30,0,0,1,2.0
63,0,0.825085,63,0,2.562166,2828.84,30,0,5,0,1.0
64,0,0.900808,24,0,1.120572,2065.06,30,0,1,0,1.0
65,0,0.400083,55,0,0.861564,1756.47,30,0,10,0,0.0
66,0,0.113221,61,0,1.157041,2621.84,30,0,3,0,0.0
67,0,0.375315,60,0,1.771427,12226.24,30,0,0,0,3.0
68,0,0.179755,40,1,1.765312,2598.91,30,0,6,0,
69,0,0.475607,72,0,0.960455,2384.27,30,0,0,0,1.0
70,0,0.62027,56,0,1.446909,8092.33,30,0,4,0,0.0
71,0,0.143015,56,1,1.382001,3309.2,30,0,5,0,2.0
72,0,0.605767,43,0,0.78144,,30,0,1,0,5.0
73,0,0.5557,26,2,0.300277,6460.54,30,0,10,0,2.0
74,0,0.314821,68,0,2.024597,2248.69,30,1,2,0,2.0
75,0,0.252775,40,0,1.26181,8827.89,30,0,4,0,6.0
76,0,0.450839,25,0,1.128976,8116.19,30,0,3,0,0.0
77,0,0.623529,58,0,2.977056,10502.72,30,0,0,0,0.0
78,0,0.133177,56,0,3.070004,1526.44,30,0,4,0,0.0
79,0,0.544202,52,0,2.571765,7979.44,30,0,3,1,2.0
80,0,0.250076,39,0,2.080541,3421.23,30,0,2,0,2.0
81,0,0.371129,52,0,1.013447,8958.62,30,0,10,0,2.0
82,0,0.252765,41,0,1.505842,,30,0,4,0,2.0
83,0,0.29003,31,0,3.299431,,30,0,3,3,1.0
84,0,0.446555,57,2,0.740568,,30,1,4,0,1.0
85,0,0.396209,28,2,0.978284,4174.16,30,0,5,0,1.0
86,0,0.810253,66,0,0.701511,1480.42,30,1,9,0,3.0
87,1,0.191055,44,0,1.13924,,30,0,1,1,1.0
88,0,0.219901,28,1,0.668943,5634.15,30,0,4,0,5.0
89,0,0.29371,71,1,3.850911,,30,0,9,0,1.0
90,0,0.413339,24,0,0.203887,5973.81,30,0,5,0,0.0
91,0,0.243381,68,2,0.690012,10753.62,30,0,4,0,1.0
92,1,0.585777,27,1,1.987145,3106.28,30,0,9,1,
93,0,0.348974,48,0,0.796003,3760.59,30,0,0,0,0.0
94,0,0.066365,58,0,0.304846,4289.42,30,1,1,0,1.0
95,0,1.104328,62,0,0.871392,3554.3,30,0,2,0,2.0
96,0,0.334623,51,0,2.114806,1719.83,30,0,4,0,7.0
97,0,0.695714,59,0,0.565363,5951.62,30,1,4,0,1.0
98,0,0.527057,53,0,1.541129,8873.55,30,2,2,0,2.0
99,0,0.469301,60,0,0.518465,,30,0,0,0,2.0
100,0,0.557782,29,1,0.513652,3371.16,30,0,10,0,3.0
101,0,0.385329,73,0,0.758576,29551.31,30,0,0,0,0.0
102,0,0.463766,58,1,0.84933,3216.46,30,0,1,0,1.0
103,0,0.295721,23,2,1.069181,2471.53,30,0,0,2,0.0
104,0,0.494675,66,0,1.519083,,30,0,0,1,6.0
105,0,0.485723,38,0,2.161221,,30,0,0,0,2.0
106,0,0.636809,57,0,1.976263,7301.29,30,0,4,1,0.0
107,0,0.798685,39,0,0.469572,6339.16,30,0,1,0,2.0
108,0,0.410131,33,1,1.185033,6437.53,30,0,2,1,1.0
109,0,0.795907,24,0,1.031719,2974.28,30,0,6,0,2.0
110,0,0.32039,25,0,2.176501,3970.89,30,0,4,0,6.0
111,0,0.412635,37,1,1.432593,5007.61,30,0,7,0,0.0
112,0,0.151458,57,0,1.314684,2765.21,30,0,6,0,1.0
113,0,0.206055,59,0,0.65813,,30,0,5,1,2.0
114,0,0.12698,33,1,1.312734,,30,0,0,0,
115,0,0.697181,41,0,1.781674,5364.4,30,0,0,2,1.0
116,1,0.17779,64,4,1.272621,4671.57,30,1,8,0,1.0
117,0,0.364406,57,2,1.950344,5884.44,30,0,3,0,1.0
118,0,0.378452,48,0,0.629699,3039.62,30,0,0,0,3.0
119,0,0.038474,38,0,0.575865,,30,0,2,0,3.0
120,0,0.437325,32,1,0.478141,11566.66,30,0,1,0,3.0
121,0,0.310906,35,0,1.671216,3392.61,30,0,1,0,3.0
122,0,0.171885,29,1,0.858521,9098.13,30,0,1,0,0.0
123,0,0.426792,26,1,0.194579,,13,0,0,1,1.0
124,0,0.211245,60,0,0.499258,2688.98,30,0,3,0,8.0
125,0,0.602139,54,1,0.912469,12983.1,30,0,0,0,5.0
126,0,0.339467,49,3,2.982862,8056.69,30,0,5,0,1.0
127,0,0.135617,65,0,0.460994,,30,0,3,0,0.0
128,0,0.774994,54,1,0.741778,5545.84,30,0,1,0,2.0
129,0,0.093457,58,1,1.257225,7960.99,30,0,2,0,1.0
130,0,0.096376,25,0,1.316464,2039.8,30,0,0,0,0.0
131,0,0.467789,32,2,0.741326,6387.52,30,0,3,1,0.0
132,0,0.407628,64,0,4.421684,14115.27,30,0,10,0,8.0
133,0,0.121218,53,0,0.862106,23403.38,30,0,0,0,1.0
134,0,0.401926,66,2,0.678203,2185.34,30,0,4,0,3.0
135,0,0.182795,36,0,2.081537,,30,1,0,0,0.0
136,0,0.170869,24,0,1.052014,,30,0,5,0,1.0
137,0,0.560321,57,1,0.621466,6728.23,30,0,4,0,0.0
138,0,0.237689,44,2,2.151339,6252.48,30,0,3,0,4.0
139,0,0.073204,29,0,0.986311,,30,0,3,0,3.0
140,0,0.42748,62,0,1.046658,15429.34,30,1,2,0,1.0
141,0,0.457491,47,0,1.987772,3800.01,30,0,0,0,1.0
142,0,0.53733,26,0,0.760375,,30,1,0,0,1.0
143,0,0.075064,58,0,1.721165,4733.56,30,0,10,0,3.0
144,0,0.963424,37,0,0.931392,6140.7,30,0,0,0,1.0
145,0,0.751807,42,0,2.466519,,30,0,0,0,0.0
146,0,0.290496,62,0,1.655793,4968.21,30,0,5,0,0.0
147,0,0.163333,35,2,0.887985,3762.81,30,0,5,0,0.0
148,0,0.386131,24,0,3.758366,9326.13,30,0,3,1,0.0
149,0,0.105199,39,0,1.315704,3304.52,30,0,4,0,0.0
150,0,0.366071,42,0,1.069589,4546.02,30,0,0,0,0.0
151,0,0.456729,58,0,0.878223,5236.31,30,1,0,0,8.0
152,0,0.571465,69,2,0.911773,9726.99,30,0,1,0,1.0
153,0,0.269304,57,0,0.945028,,30,0,3,0,4.0
154,0,0.213687,33,0,2.97484,14538.73,30,0,3,0,0.0
155,1,0.478748,29,1,1.623469,,30,1,6,0,0.0
156,0,0.303778,63,1,1.471295,,30,0,1,0,0.0
157,0,0.293482,52,0,2.318491,,30,0,0,0,1.0
158,0,0.35591,29,0,2.96108,7418.23,30,0,2,0,0.0
159,0,0.40752,61,0,1.791245,,30,1,0,0,0.0
160,0,0.348425,70,0,1.074105,,30,0,4,0,6.0
161,0,0.315664,41,1,1.558044,3206.17,30,0,8,0,0.0
162,0,0.283236,49,1,1.541017,,30,0,2,0,1.0
163,0,0.252007,44,0,0.922807,3275.02,30,0,0,0,2.0
164,1,0.80018,51,0,4.119141,4828.7,30,1,0,0,0.0
165,0,0.321246,65,0,0.755472,,30,0,2,0,2.0
166,0,0.222509,42,0,1.629359,,30,0,0,0,2.0
167,0,0.472959,49,0,1.050637,,30,0,1,0,4.0
168,1,0.783959,63,0,1.097641,,30,1,1,0,1.0
169,0,0.905126,27,0,3.050465,5748.51,30,0,6,1,4.0
170,0,1.02013,61,0,1.231579,8552.84,30,0,8,0,3.0
171,0,0.512157,26,2,2.48778,4276.46,30,0,0,0,0.0
172,0,0.37675,66,0,1.32345,5513.07,30,0,0,1,8.0
173,0,0.443081,67,0,2.203083,6742.42,30,0,5,0,5.0
174,0,0.961236,51,0,1.494406,17566.14,30,0,1,0,1.0
175,0,0.423238,60,2,0.97286,9572.43,30,1,7,1,0.0
176,0,0.096494,44,2,1.622283,4361.58,30,1,1,1,5.0
177,0,0.34982,71,1,0.896793,3070.08,30,0,1,0,5.0
178,0,0.42264,40,0,0.576089,6626.98,30,0,10,0,8.0
179,0,0.340392,60,0,0.636812,,30,0,4,0,0.0
180,0,0.658844,58,0,1.237655,4006.19,30,0,3,0,0.0
181,0,0.45232,66,0,0.285493,5414.2,30,0,3,0,1.0
182,0,0.333831,65,0,0.785974,4180.34,30,1,4,0,1.0
183,0,0.470336,25,1,1.875576,15282.4,30,0,10,0,1.0
184,0,0.320766,24,0,2.989975,2140.83,30,0,1,0,2.0
185,0,0.487366,37,1,0.669242,,30,0,1,0,3.0
186,0,0.204774,50,0,0.965166,6267.43,30,2,0,0,1.0
187,1,0.996765,48,0,2.293677,,30,1,3,0,1.0
188,0,0.918904,33,2,0.648605,6373.9,30,0,3,0,
189,0,0.345113,25,1,1.078708,3218.35,30,0,2,0,1.0
190,0,0.131619,47,4,3.350413,5146.38,30,1,0,0,
191,0,1.126213,28,1,0.918285,4352.91,30,0,0,0,4.0
192,0,0.460178,50,2,0.815243,7542.0,30,0,5,0,8.0
193,0,0.30846,43,0,0.931555,4076.57,30,0,1,0,8.0
194,0,0.140123,31,1,1.35726,5678.54,30,0,1,0,1.0
195,0,0.136825,62,0,1.996086,5142.53,30,0,0,0,0.0
196,0,0.422017,42,0,1.703309,,30,0,7,0,1.0
197,0,0.22188,37,0,1.199091,1773.39,30,1,2,2,1.0
198,0,0.481349,28,0,1.100646,,30,1,5,0,6.0
199,0,0.745116,48,0,1.787555,3841.9,30,0,2,0,0.0
200,0,0.437006,38,0,1.358392,2709.21,30,0,3,0,4.0
201,0,0.199883,38,0,1.040472,4929.5,30,0,3,0,0.0
202,0,0.127437,30,1,0.318063,14250.59,30,0,0,1,0.0
203,0,0.119117,32,0,0.246012,8675.83,30,0,3,0,1.0
204,0,0.634023,33,0,1.480083,4504.44,30,0,8,0,1.0
205,0,0.339022,34,0,0.873158,16802.57,30,1,0,0,0.0
206,0,0.719144,49,1,1.188926,3286.29,30,0,1,2,1.0
207,1,0.235218,49,3,1.578695,1874.92,30,0,0,0,0.0
208,0,0.319421,49,0,1.484972,2002.73,30,0,3,0,0.0
209,0,0.500145,64,0,1.34503,11217.71,30,0,4,0,0.0
210,0,0.288163,51,1,2.683682,2202.36,30,0,10,1,0.0
211,0,0.690157,52,0,1.572875,7316.82,30,0,3,1,2.0
212,0,0.331084,40,1,2.389998,,30,0,10,0,
213,0,0.474495,45,0,0.450563,5905.79,30,1,4,0,0.0
214,0,0.196709,22,1,0.868182,6543.95,30,0,10,0,1.0
215,0,0.17096,41,0,1.116194,3909.37,30,0,0,0,4.0
216,0,0.555246,69,1,3.121691,6026.16,30,0,1,0,1.0
217,0,0.532867,26,0,1.436665,15072.26,30,0,0,0,0.0
218,1,0.375055,26,5,0.777643,,30,0,2,0,0.0
219,0,0.468922,27,0,1.248939,1896.12,30,0,4,0,1.0
220,0,0.885003,61,0,1.328278,7601.74,30,0,3,1,0.0
221,0,0.381903,50,2,2.101256,5289.88,30,0,2,0,0.0
222,0,0.240906,28,0,1.98256,4964.84,30,0,1,0,1.0
223,1,0.786391,42,4,0.964041,5185.82,30,0,3,0,2.0
224,0,0.358714,71,0,1.450205,6406.35,30,0,1,0,0.0
225,0,0.582611,71,0,1.312276,2503.77,30,0,5,0,1.0
226,0,0.587966,74,0,2.500799,8168.7,30,0,0,0,2.0
227,0,0.579011,28,0,1.17777,7714.83,30,0,5,0,2.0
228,0,0.024506,29,0,1.0089,9922.2,30,0,6,2,0.0
229,0,0.365185,71,2,0.929054,2903.77,30,0,8,2,7.0
230,1,0.655742,27,1,2.130484,2942.74,30,0,0,0,0.0
231,0,0.150946,49,0,5.0,2600.09,30,0,10,0,1.0
232,0,0.665482,71,2,1.007022,4812.2,30,0,4,0,0.0
233,0,0.401618,61,1,2.590115,3769.19,30,0,1,0,1.0
234,0,0.384097,56,0,2.587939,,30,0,1,0,0.0
235,0,0.11704,42,0,1.640604,,30,0,1,0,0.0
236,0,0.204705,72,0,0.435411,5360.97,30,0,4,0,0.0
237,0,0.463059,27,0,0.835195,,30,1,7,0,2.0
238,0,0.174876,56,0,1.718726,8525.7,30,1,2,0,3.0
239,0,0.230173,42,0,0.842781,5025.26,30,0,4,0,5.0
240,0,0.223038,73,0,0.555441,19669.17,30,0,2,1,5.0
241,0,0.288118,60,0,1.282467,3674.56,30,1,10,0,0.0
242,0,0.116415,45,0,2.031417,5796.51,30,0,7,0,2.0
243,0,0.279951,34,0,2.397379,5002.64,30,0,0,0,4.0
244,0,0.145181,61,4,0.633798,4597.83,30,0,4,0,0.0
245,0,0.771327,64,1,0.304002,2774.85,30,0,1,0,2.0
246,0,0.372669,28,0,2.981005,1984.45,30,0,4,0,2.0
247,0,0.379108,52,0,3.260843,3506.09,30,0,8,0,0.0
248,0,0.260447,32,1,1.191876,10578.58,30,0,4,0,4.0
249,0,0.435516,24,3,1.334916,3104.86,30,1,3,2,0.0
250,0,0.255535,49,0,3.139332,2978.85,30,0,3,0,1.0
251,0,0.675003,72,1,0.894201,10639.54,30,0,3,0,5.0
252,0,0.338378,65,0,1.674874,2791.86,30,2,2,1,2.0
253,0,1.030637,46,0,2.064326,3150.59,30,0,0,0,0.0
254,0,0.140517,49,1,1.255431,,30,0,5,0,6.0
255,0,0.078538,47,0,1.108015,10296.1,30,0,6,0,1.0
256,0,0.181605,49,2,0.949749,9189.9,30,1,8,0,2.0
257,0,0.057288,32,0,3.570984,3238.66,30,1,9,0,1.0
258,0,0.536283,53,0,1.111758,8373.33,30,0,0,0,0.0
259,0,0.517055,26,0,0.610834,2062.37,30,1,3,0,1.0
260,0,0.595941,26,1,2.224642,4196.15,30,0,2,0,4.0
261,0,1.049202,59,0,0.605021,9660.98,30,0,0,0,3.0
262,0,0.805158,46,0,0.458533,,30,0,1,0,1.0
263,0,0.163703,34,0,0.791213,5784.88,30,1,10,0,2.0
264,0,0.651193,56,0,0.634657,3422.5,30,0,0,0,2.0
265,0,0.271329,24,1,2.088215,,30,0,1,1,3.0
266,0,0.240123,66,2,3.12022,3487.93,30,2,0,1,0.0
267,0,0.296743,33,0,1.40004,4659.17,30,0,1,1,5.0
268,0,0.380835,68,1,1.551212,14760.07,30,0,1,0,0.0
269,0,0.127121,38,0,1.866189,3446.1,30,0,0,0,0.0
270,0,0.120569,45,2,0.57637,6808.77,30,1,4,0,1.0
271,0,0.142705,25,0,0.674148,5698.04,30,0,3,0,0.0
272,0,0.18603,46,0,0.899815,,30,0,4,0,2.0
273,0,0.118141,57,0,4.333369,11033.54,30,0,5,0,1.0
274,0,0.395758,46,1,3.536323,2634.14,30,0,3,0,0.0
275,0,0.478044,42,0,1.726481,5013.89,30,0,1,1,3.0
276,0,0.059865,53,2,0.766275,4484.09,30,0,1,1,3.0
277,0,0.822109,23,0,0.963629,19250.52,30,0,4,0,3.0
278,0,0.468872,25,0,0.650319,5118.37,30,0,0,0,0.0
279,0,0.102728,71,1,2.613013,13059.86,30,0,2,0,2.0
280,0,0.310661,48,0,1.703296,,30,0,5,0,1.0
281,0,0.225176,26,0,1.455209,7780.43,30,0,6,0,1.0
282,0,0.536409,27,0,1.042527,3932.15,30,0,0,0,0.0
283,0,0.78905,28,0,1.007077,7431.96,30,0,10,0,1.0
284,0,0.498288,68,1,0.909287,5958.07,30,1,3,0,0.0
285,0,0.372434,71,0,1.127795,,30,0,0,0,1.0
286,0,0.104165,71,0,0.615173,4835.45,30,0,6,0,1.0
287,0,0.068393,57,1,0.907977,,30,0,1,0,3.0
288,0,0.920071,27,1,1.46102,,30,0,2,0,1.0
289,0,0.082572,27,0,2.003241,6509.63,30,0,0,0,4.0
290,0,0.325198,69,1,1.822939,11580.75,30,0,2,1,0.0
291,0,0.302046,67,0,2.340908,,30,0,1,0,2.0
292,0,0.693602,74,0,1.134813,8016.64,30,1,3,0,3.0
293,0,0.081539,27,0,1.844487,2482.93,30,0,10,0,0.0
294,0,0.919454,49,0,1.940628,5559.66,30,1,1,0,4.0
295,0,0.343624,23,2,1.164009,2375.12,30,2,3,2,1.0
296,1,0.423547,51,0,2.292889,,30,0,4,1,0.0
297,0,0.46269,44,0,1.215371,19630.16,30,0,4,0,0.0
298,0,0.683431,67,1,1.917695,4223.75,30,0,2,1,1.0
299,0,0.069661,56,0,1.985005,6663.7,30,0,1,1,1.0
300,0,0.329807,23,2,2.155905,,30,1,3,0,4.0
301,0,0.725058,62,1,2.123402,4960.05,30,0,1,0,1.0
302,0,1.001181,60,0,1.078703,3664.41,30,0,3,1,
303,0,0.303948,28,0,3.877959,6081.2,30,0,2,0,0.0
304,0,0.258111,30,1,1.796991,13126.86,30,0,5,0,
305,0,0.594608,33,0,4.404296,3660.87,30,0,0,0,0.0
306,0,0.20502,25,2,0.96361,11374.83,30,0,5,0,0.0
307,0,0.196285,32,0,1.051926,,30,0,2,1,3.0
308,0,0.260022,26,0,1.695079,26589.29,30,0,0,0,0.0
309,0,0.307083,36,0,1.221339,14270.15,30,0,1,1,1.0
310,0,0.533235,52,1,0.709304,10571.15,30,0,0,0,4.0
311,0,0.583641,45,0,1.310415,,30,0,2,0,1.0
312,0,0.047711,58,0,1.133453,6549.41,30,0,1,2,0.0
313,0,1.187041,26,0,0.976178,,30,0,8,0,0.0
314,0,0.729035,74,0,0.996539,4619.19,30,0,10,0,1.0
315,0,0.243679,43,0,0.730325,,30,0,1,1,2.0
316,0,0.330388,60,2,1.236926,6669.95,30,0,1,0,0.0
317,0,0.659641,61,0,0.583152,2289.46,30,1,2,0,3.0
318,0,0.950469,24,1,1.562584,2167.98,30,0,0,0,5.0
319,0,0.241668,26,1,0.658474,14401.77,30,0,0,0,1.0
320,0,0.431004,23,0,1.924015,6818.27,30,1,0,1,0.0
321,0,0.200298,54,1,0.304644,,30,2,0,0,2.0
322,0,0.340674,34,1,2.716481,4307.33,30,0,4,1,1.0
323,0,0.103806,58,0,0.919349,2771.72,30,0,1,0,1.0
324,0,0.654801,74,0,1.042762,3706.95,30,0,0,0,2.0
325,0,0.588745,68,0,0.692371,2966.87,30,0,0,0,0.0
326,0,0.115885,41,0,2.186647,7148.29,30,0,1,0,0.0
327,0,0.66364,31,1,1.049399,5250.36,30,0,4,0,5.0
328,0,0.79585,53,0,2.562736,6574.84,30,0,2,0,4.0
329,0,0.813194,64,0,2.179244,4841.63,30,0,3,0,0.0
330,0,0.437866,47,0,1.195188,6726.57,30,1,0,0,0.0
331,0,0.224164,33,1,1.215785,3744.26,30,1,1,0,7.0
332,0,0.490987,59,1,1.376166,5087.33,30,0,10,0,7.0
333,0,0.461077,58,0,0.633813,4222.27,30,0,0,0,0.0
334,0,0.210823,33,1,1.250671,8318.71,30,0,2,1,1.0
335,0,0.434349,46,2,2.006146,3023.43,30,1,8,0,3.0
336,0,0.380936,70,2,1.329671,3351.84,30,2,3,1,0.0
337,0,0.530991,25,0,2.1776,4638.77,30,0,3,1,2.0
338,0,0.211195,24,1,3.727615,5191.35,30,0,2,0,1.0
339,0,0.165263,41,0,1.381518,13096.32,30,0,2,0,2.0
340,0,0.137935,47,2,0.499983,7358.92,30,0,4,0,5.0
341,0,1.115936,58,0,1.606332,5928.4,30,0,1,0,0.0
342,0,0.62342,28,0,0.734476,13085.03,30,0,3,0,1.0
343,0,0.356908,27,0,3.703181,,30,0,5,0,1.0
344,0,0.685038,48,1,1.535275,2496.96,30,0,6,0,0.0
345,1,0.999957,51,1,1.620354,2401.16,30,0,4,0,3.0
346,0,0.496351,64,0,1.699552,3013.06,30,0,0,0,2.0
347,0,0.119647,66,2,0.478456,,30,0,8,0,2.0
348,0,0.399038,60,1,0.842888,6866.2,30,0,10,0,3.0
349,0,0.2764,56,2,0.700669,5710.35,30,0,6,0,1.0
350,0,0.39833,38,0,2.55289,7615.76,30,0,0,0,1.0
351,0,0.341308,25,2,1.991915,5616.51,30,0,0,0,0.0
352,0,0.03156,68,0,1.069138,14269.24,30,0,2,0,0.0
353,0,0.069958,26,0,1.271348,2961.18,30,0,2,0,5.0
354,0,0.47815,27,0,1.112223,,30,1,0,0,5.0
355,0,0.986504,70,0,1.828018,2855.1,30,0,6,0,2.0
356,1,0.075676,72,3,1.849659,5238.1,30,0,7,1,3.0
357,0,0.241121,35,2,0.539512,15137.54,30,0,1,0,0.0
358,0,0.47377,58,1,0.925399,19451.22,30,0,1,0,1.0
359,0,0.545175,28,1,2.073436,,30,0,6,0,0.0
360,0,0.878929,50,0,1.075356,8535.04,30,0,0,2,1.0
361,0,0.365042,69,0,1.621604,,3,0,4,2,3.0
362,0,0.472511,60,0,1.227939,3654.53,30,0,1,0,0.0
363,0,0.756449,42,0,1.096024,4150.42,30,0,0,0,1.0
364,0,0.332545,56,0,3.450602,3757.31,30,0,0,1,5.0
365,0,0.134454,48,0,0.650463,13655.68,30,0,0,0,2.0
366,0,0.15389,57,3,0.814564,11052.42,30,0,6,0,4.0
367,0,0.019972,37,1,1.106549,7301.86,30,0,6,0,1.0
368,0,0.720677,65,0,0.970715,5796.52,30,0,10,0,0.0
369,0,0.938297,48,0,0.773329,10168.95,30,0,3,0,3.0
370,0,0.773116,42,0,1.005363,4121.68,30,0,6,0,0.0
371,0,0.364749,67,0,1.934622,2943.92,30,0,4,2,4.0
372,0,0.314171,42,0,1.849765,7953.5,30,0,10,0,2.0
373,0,0.664223,69,0,1.292329,2733.77,30,0,0,0,3.0
374,0,0.177979,61,0,1.675745,2564.62,30,1,0,0,1.0
375,0,0.660129,33,0,0.683828,,30,0,2,0,5.0
376,0,0.373564,70,2,1.415537,6064.37,30,0,0,0,2.0
377,0,0.129499,36,1,0.912067,9194.95,30,0,5,1,8.0
378,0,0.267472,39,1,0.899045,7130.06,30,0,7,0,1.0
379,1,0.391704,32,0,0.287002,4617.45,30,1,1,0,3.0
380,0,0.665098,27,0,0.886107,1962.2,30,0,0,0,3.0
381,0,0.662438,50,1,0.59064,5439.91,30,0,2,1,5.0
382,0,0.652341,55,3,2.546719,8134.05,30,0,1,1,5.0
383,0,0.671373,69,1,2.350256,8663.52,30,0,10,0,0.0
384,0,0.032142,71,0,1.194552,1292.67,30,1,6,0,0.0
385,0,0.350564,37,0,3.745246,,30,0,3,0,3.0
386,0,0.199897,48,0,0.584301,3829.78,30,0,4,0,2.0
387,0,0.659256,45,1,0.774661,3633.77,30,0,1,0,0.0
388,0,0.377458,34,0,1.033657,4403.31,30,1,1,0,1.0
389,0,0.459744,71,0,1.255159,7530.11,30,0,7,0,1.0
390,0,0.222118,63,1,2.968062,6284.99,30,0,4,0,2.0
391,0,0.160057,53,0,0.44767,3584.74,30,0,0,0,0.0
392,0,1.057843,64,1,1.340398,,30,0,1,0,
393,0,0.254074,24,1,1.589274,10684.6,30,0,1,0,3.0
394,0,0.196606,73,0,1.025892,,30,0,0,1,0.0
395,0,0.258316,30,0,1.610796,2620.69,30,0,4,1,1.0
396,0,0.603512,24,1,0.527331,4085.62,30,1,3,0,0.0
397,0,0.318915,62,1,1.226541,4568.82,30,1,3,0,0.0
398,0,0.131144,34,0,1.644236,10784.3,30,0,3,0,1.0
399,0,0.132704,67,1,0.661983,5971.88,30,0,1,0,0.0
